S-ID,Address Line 1,County,Lat (WGS84 GPS),Long (WGS84 GPS)
12370C,Moorpark Street,Offaly,53.0907869,-7.9113785000000005
12373I,Eachléim,Mayo,54.1182179,-10.101540199999999
12382J,Blackpool,Cork,52.0943718,-8.0490424
12383L,Union Hall,Cork,51.55339179999999,-9.1441097
12395S,Rusheen,Cork,51.934067,-8.8996275
12413R,Donoughmore,Wicklow,52.9904826,-6.6270231
12446J,Cloughleafin,Cork,52.2548477,-8.3538421
12447L,Newtwopothouse,Cork,52.185986,-8.6702517
12448N,Gardiner Street,Dublin,53.357882,-6.25894
12456M,School Road,Cork,51.642453499999995,-8.7641889
12467R,Craggagh,Mayo,53.8179141,-9.0775984
12473M,Green Street,Cork,51.8911922,-8.4812239
12476S,Slieverue,Kilkenny,52.2834423,-7.0667515
12488C,Chapel Street,Meath,53.7690196,-7.158718799999999
12502Q,Roundstone,Galway,53.3964208,-9.9190184
12505W,Kilbarry,Cork,51.862198299999996,-9.0605709
12529N,Station Road,Wicklow,52.93047489999999,-6.2283975
12535I,Inner Ring Road,Waterford,52.259319700000006,-7.110070200000001
12537M,Gurteen,Sligo,53.9968262,-8.528307
12540B,Clonmore,Tipperary,52.8299157,-7.7657793
12554M,Church Road,Wicklow,53.149342700000005,-6.0691875
12568A,Inver,Mayo,54.2511986,-9.8649436
