P-ID,BER_ID,BER_Rating,BER_Energy_PI_(kWh/sqm/yr)
4467063,108636861.0,D2,63.11
4462932,,E1,
4456592,113289250.0,E2,360.32
4462246,113440848.0,C1,165.5
4457577,,D1,
4440893,111141610.0,A2,46.73
4433371,13058689.0,G,678.04
4444957,,D2,
4466109,,D2,
4464108,,C2,
4463976,113479992.0,D1,256.93
4467675,109177980.0,D2,275.03
4442452,,D2,
4443245,101918043.0,D2,292.59
4462648,,C1,
4453253,,C2,
4466428,113504963.0,C2,179.28
4458675,13420707.0,C2,194.25
4466541,,E2,
4461041,,C1,
4451284,188089067.0,A2,48.10
4464694,,C2,
4466423,113432983.0,C2,178.93
4466206,105851737.0,C3,220.47
4462935,106073034.0,C1,164.9
4452090,113256796.0,E1,321.07
