,School,FullAddress,Latitude,Longitude
3047,"Gaelscoil na Laochra, Sandymount Haven, Birr","Sandymount Haven, Clonoghil Upper, Co. Offaly, Ireland",53.097609,-7.9013706
3048,"Cuan na Gaillimhe Community National School, An Cimin Mor, Cappagh Road","An Cimín Mór, Cappagh Road, Knocknacarra, Galway, H91 Y38E, Ireland",53.2651054,-9.125216
3049,"Holy Spirit Junior Primary School, Limekiln Lane, Greenhills","Limekiln Ln, Greenhills, Dublin 12, Ireland",53.30871,-6.331328
3050,"Holy Spirit Senior Primary School, Limekiln Lane, Greenhills","Limekiln Ln, Greenhills, Dublin 12, Ireland",53.3086889,-6.329128700000001
3051,"Gort National School, Tubber Road, Gort","Tubber Rd, Ballyhugh, Gort, Co. Galway, Ireland",53.06073199999999,-8.8246397
3052,"St Fergal's National School, Ballywaltrim, Bray","Killarney Rd, Ballymorris, Bray, Co. Wicklow, Ireland",53.189379,-6.1251653
3053,"ST AILBE'S NATIONAL SCHOOL, Emly, Tipperary","Emly, Co. Tipperary, Ireland",52.4636684,-8.3479663
3054,"St Dominic's National School, Mountain Park, Tallaght","Mountain Park, Tallaght, Dublin 24, D24 P7XC, Ireland",53.286047,-6.3572162
3055,"St John's Senior School, Coolgreaney Road, Arklow","Coolgreaney Rd, Yardland, Arklow, Co. Wicklow, Ireland",52.7982453,-6.165858099999999
3056,"St Michael's and St Peter's Junior School, Hickey's Hill;, Arklow","St. Michael Building, Hickey's Hill, Abbeylands, Arklow, Co. Wicklow, Y14 HY40, Ireland",52.7951893,-6.158144399999999
3057,"Greystones Community NS, Greystones Rugby Club, Mill Road","Greystones Rugby Club,, Mill Rd, Killincarrig, Greystones, Co. Wicklow, Ireland",53.13391499999999,-6.067326
3058,"Our Lady's National School, Thurles, Co. Tipperary","Ballingarry Co. Tipperary E41W352, Ballingarry Upper, Co. Tipperary, E41 W352, Ireland",52.5894748,-7.541810300000001
3059,"SCOIL NA MAINISTREACH QUIN DANGAN, Newline Road, Quin","Newline Rd, Quin, Co. Clare, Ireland",52.8172445,-8.8604374
3060,"St Patrick's Boys' National School, Skibbereen, Co Cork","Cork Rd, Gortnaclohy, Skibbereen, Co. Cork, P81 KP63, Ireland",51.55436479999999,-9.260559299999999
3061,"Ballyduff National School, Ballyduff, Tralee","Benmore Dr, Lacka East, Ballyduff, Co. Kerry, Ireland",52.4530658,-9.666066299999999
