,School,FullAddress,Latitude,Longitude
175,"St Mary's Secondary School, Bathview, Mallow","Mallow, Co. Cork, Ireland",52.14140399999999,-8.641123
176,"Christian Brothers Secondary School, Castleredmond, Midleton","Castleredmond, Midleton, Co. Cork, P25 C951, Ireland",51.90720049999999,-8.1703219
177,"Midleton College, Connolly Street, Midleton","Connolly St, Midleton, Co. Cork, Ireland",51.9148487,-8.171150899999999
178,"St Mary's High School, Castleredmond,, Midleton,","Castleredmond, Midleton, Co. Cork, Ireland",51.9084043,-8.1692552
179,"Christian Brothers Secondary School, Mitchelstown, Co Cork","Mitchelstown, Ballinwillin, Mitchelstown, Co. Cork, Ireland",52.2662127,-8.2698863
180,"Presentation Secondary School, Brigown, Mitchelstown","Presentation Secondary School, Church Rd, Brigown, Mitchelstown, Co. Cork, Ireland",52.2654128,-8.2653065
181,"Scoil na mBráithre Chríostaí, Bakers Road, Charleville","Bakers Rd, Ballysallagh, Charleville, Co. Cork, Ireland",52.3537589,-8.678899699999999
182,"St. Mary's Secondary School, Smiths Road, Charleville","St Mary's Secondary School, Rathgoggan Middle, Co. Cork, Ireland",52.3543921,-8.6866722
183,"St Francis Capuchin College, Rochestown, Co Cork",.,.,.
184,"Mount St Michael, Rosscarbery, Co Cork","Mount Saint Michael's Secondary School, Ardagh East, Rosscarbery, Co. Cork, Ireland",51.583032,-9.0257308
185,"Christian Brothers College, Sidney Hill, Wellington Road","10a Wellington Rd, Cork, Ireland",51.90363749999999,-8.4681664
186,"North Monastery Secondary School, Our Lady's Mount, North Monastery Rd.","North Monastery Road, Cork, T23 P825, Ireland",51.9082336,-8.4800141
187,"Gaelcholáiste Mhuire, An Mhainistir Thuaidh, Corcaigh","Cork City, Cork, Ireland",51.9092254,-8.480668
188,"Coláiste Éamann Rís, St Patrick's Road, Cork","Deerpark CBS, St Patrick's Rd, Ballyphehane, Cork, T12 K83R, Ireland",51.8898683,-8.4738335
189,"Coláiste Chríost Rí, Capwell Road,, Turners Cross,","Capwell Rd, Turners Cross, Cork, Ireland",51.88958470000001,-8.4646216
190,"Presentation Brothers College, The Mardyke, Cork","Mardyke Walk, Mardyke, Cork, Ireland",51.8975894,-8.4850617
191,"Coláiste An Spioraid Naoimh, Bishopstown, Cork","Bishopstown, Cork, Co. Cork, Ireland",51.8829286,-8.517108
